代码	名称	大类行业	细分行业	Unnamed: 4	Unnamed: 5	大类行业.1	细分行业.1
002821.SZ	凯莱英	医药	CXO			大金融	保险
300149.SZ	睿智医药	医药	CXO			大金融	多元金融
300347.SZ	泰格医药	医药	CXO			大金融	房地产
300363.SZ	博腾股份	医药	CXO			大金融	券商
300725.SZ	药石科技	医药	CXO			大金融	银行
300759.SZ	康龙化成	医药	CXO			服务业	出版
301096.SZ	百诚医药	医药	CXO			服务业	电商
301201.SZ	诚达药业	医药	CXO			服务业	广告营销
301230.SZ	泓博医药	医药	CXO			服务业	航空机场
301333.SZ	诺思格	医药	CXO			服务业	环保
603127.SH	昭衍新药	医药	CXO			服务业	教育培训
603259.SH	药明康德	医药	CXO			服务业	快递
603456.SH	九洲药业	医药	CXO			服务业	旅酒与餐饮
688073.SH	毕得医药	医药	CXO			服务业	物流
688076.SH	诺泰生物	医药	CXO			服务业	物业管理
688202.SH	美迪西	医药	CXO			公用事业和工业服务	港口
688222.SH	成都先导	医药	CXO			公用事业和工业服务	公路
688238.SH	和元生物	医药	CXO			公用事业和工业服务	航运
688621.SH	阳光诺和	医药	CXO			公用事业和工业服务	火电
688247.SH	宣泰医药	医药	CXO			公用事业和工业服务	建筑设计
301509.SZ	金凯生科	医药	CXO			公用事业和工业服务	建筑施工
301257.SZ	普蕊斯	医药	CXO			公用事业和工业服务	建筑装修
301520.SZ	万邦医药	医药	CXO			公用事业和工业服务	燃气
000541.SZ	佛山照明	科技	LED			公用事业和工业服务	水电
002449.SZ	国星光电	科技	LED			公用事业和工业服务	铁路
002587.SZ	奥拓电子	科技	LED			公用事业和工业服务	油服
002745.SZ	木林森	科技	LED			公用事业和工业服务	园林工程
002983.SZ	芯瑞达	科技	LED			科技	LED
300102.SZ	乾照光电	科技	LED			科技	PCB
300219.SZ	鸿利智汇	科技	LED			科技	安防
300232.SZ	洲明科技	科技	LED			科技	半导体
300241.SZ	瑞丰光电	科技	LED			科技	储能设备
300296.SZ	利亚德	科技	LED			科技	电子化学品
300303.SZ	聚飞光电	科技	LED			科技	工业互联网
300323.SZ	华灿光电	科技	LED			科技	检测
300389.SZ	艾比森	科技	LED			科技	金融IT
300582.SZ	英飞特	科技	LED			科技	军工电子和原材料
300632.SZ	光莆股份	科技	LED			科技	军工整机和配套
300708.SZ	聚灿光电	科技	LED			科技	面板
300752.SZ	隆利科技	科技	LED			科技	生产线设备
600261.SH	阳光照明	科技	LED			科技	通信服务
600651.SH	飞乐音响	科技	LED			科技	通信硬件
603303.SH	得邦照明	科技	LED			科技	消费电子
603515.SH	欧普照明	科技	LED			科技	新能源车
603703.SH	盛洋科技	科技	LED			科技	信创
605365.SH	立达信	科技	LED			科技	信息安全
688383.SH	新益昌	科技	LED			科技	医疗信息化
002654.SZ	万润科技	科技	LED			科技	影视与互联网媒体
300940.SZ	南极光	科技	LED			科技	应用软件
001326.SZ	联域股份	科技	LED			科技	游戏
301362.SZ	民爆光电	科技	LED			科技	云计算
300625.SZ	三雄极光	科技	LED			科技	智能汽车
000823.SZ	超声电子	科技	PCB			消费	白电
002288.SZ	超华科技	科技	PCB			消费	白酒
002384.SZ	东山精密	科技	PCB			消费	百货与专营
002436.SZ	兴森科技	科技	PCB			消费	超市与便利店
002463.SZ	沪电股份	科技	PCB			消费	动物保健
002579.SZ	中京电子	科技	PCB			消费	纺织与家纺
002636.SZ	金安国纪	科技	PCB			消费	非乳饮料
002815.SZ	崇达技术	科技	PCB			消费	个护用品
002913.SZ	奥士康	科技	PCB			消费	家居家具
002916.SZ	深南电路	科技	PCB			消费	免税
002938.SZ	鹏鼎控股	科技	PCB			消费	农产品加工
300476.SZ	胜宏科技	科技	PCB			消费	啤酒
300657.SZ	弘信电子	科技	PCB			消费	品牌服饰
300852.SZ	四会富仕	科技	PCB			消费	肉制品
300903.SZ	科翔股份	科技	PCB			消费	乳制品
301132.SZ	满坤科技	科技	PCB			消费	饲料
301282.SZ	金禄电子	科技	PCB			消费	速冻食品
600183.SH	生益科技	科技	PCB			消费	调味品
600601.SH	方正科技	科技	PCB			消费	文娱用品
603186.SH	华正新材	科技	PCB			消费	小家电
603228.SH	景旺电子	科技	PCB			消费	休闲食品
603328.SH	依顿电子	科技	PCB			消费	医美
603386.SH	骏亚科技	科技	PCB			医药	CXO
603920.SH	世运电路	科技	PCB			医药	创新药
603936.SH	博敏电子	科技	PCB			医药	化学制药
688020.SH	方邦股份	科技	PCB			医药	生命科学上游
688183.SH	生益电子	科技	PCB			医药	体外诊断
688519.SH	南亚新材	科技	PCB			医药	血制品
301251.SZ	威尔高	科技	PCB			医药	药房
300739.SZ	明阳电路	科技	PCB			医药	医疗服务
301366.SZ	一博科技	科技	PCB			医药	医疗器械
002236.SZ	大华股份	科技	安防			医药	医药流通
002415.SZ	海康威视	科技	安防			医药	疫苗与生物制品
300075.SZ	数字政通	科技	安防			医药	原料药
300691.SZ	联合光电	科技	安防			医药	中药
300790.SZ	宇瞳光学	科技	安防			制造业	包装印刷
301117.SZ	佳缘科技	科技	安防			制造业	乘用车
301330.SZ	熵基科技	科技	安防			制造业	风电
600728.SH	佳都科技	科技	安防			制造业	钢结构
603508.SH	思维列控	科技	安防			制造业	高铁与城轨
688475.SH	萤石网络	科技	安防			制造业	工程机械
688489.SH	三未信安	科技	安防			制造业	光伏
688509.SH	正元地信	科技	安防			制造业	核电
301396.SZ	宏景科技	科技	安防			制造业	化肥
301318.SZ	维海德	科技	安防			制造业	化学纤维
002835.SZ	同为股份	科技	安防			制造业	化学原料及制品
300479.SZ	神思电子	科技	安防			制造业	黄金
000333.SZ	美的集团	消费	白电			制造业	机械基础件
000521.SZ	长虹美菱	消费	白电			制造业	建材
000651.SZ	格力电器	消费	白电			制造业	楼宇设备
000921.SZ	海信家电	消费	白电			制造业	农药
002668.SZ	奥马电器	消费	白电			制造业	汽车零部件
600060.SH	海信视像	消费	白电			制造业	商用车
600690.SH	海尔智家	消费	白电			制造业	输变电设备
600839.SH	四川长虹	消费	白电			制造业	水泥
600983.SH	惠而浦	消费	白电			制造业	塑料及制品
000568.SZ	泸州老窖	消费	白酒			制造业	维生素
000596.SZ	古井贡酒	消费	白酒			制造业	橡胶及制品
000799.SZ	酒鬼酒	消费	白酒			制造业	专用设备
000858.SZ	五粮液	消费	白酒			周期	钢铁
000860.SZ	顺鑫农业	消费	白酒			周期	工业金属
002304.SZ	洋河股份	消费	白酒			周期	煤炭
002646.SZ	天佑德酒	消费	白酒			周期	石油化工
600197.SH	伊力特	消费	白酒			周期	石油开采
600199.SH	金种子酒	消费	白酒			周期	稀有金属
600519.SH	贵州茅台	消费	白酒			周期	养殖
600559.SH	老白干酒	消费	白酒			周期	造纸
600696.SH	岩石股份	消费	白酒			周期	种植业
600702.SH	舍得酒业	消费	白酒				
600779.SH	水井坊	消费	白酒				
600809.SH	山西汾酒	消费	白酒				
603198.SH	迎驾贡酒	消费	白酒				
603369.SH	今世缘	消费	白酒				
603589.SH	口子窖	消费	白酒				
603919.SH	金徽酒	消费	白酒				
000026.SZ	飞亚达	消费	百货与专营				
000061.SZ	农产品	消费	百货与专营				
000417.SZ	合肥百货	消费	百货与专营				
000501.SZ	武商集团	消费	百货与专营				
000785.SZ	居然之家	消费	百货与专营				
000829.SZ	天音控股	消费	百货与专营				
002091.SZ	江苏国泰	消费	百货与专营				
002187.SZ	广百股份	消费	百货与专营				
002277.SZ	友阿股份	消费	百货与专营				
002344.SZ	海宁皮城	消费	百货与专营				
002345.SZ	潮宏基	消费	百货与专营				
002416.SZ	爱施德	消费	百货与专营				
002419.SZ	天虹股份	消费	百货与专营				
002818.SZ	富森美	消费	百货与专营				
002867.SZ	周大生	消费	百货与专营				
300755.SZ	华致酒行	消费	百货与专营				
301078.SZ	孩子王	消费	百货与专营				
301177.SZ	迪阿股份	消费	百货与专营				
301215.SZ	中汽股份	消费	百货与专营				
600297.SH	广汇汽车	消费	百货与专营				
600327.SH	大东方	消费	百货与专营				
600335.SH	国机汽车	消费	百货与专营				
600386.SH	北巴传媒	消费	百货与专营				
600415.SH	小商品城	消费	百货与专营				
600612.SH	老凤祥	消费	百货与专营				
600628.SH	新世界	消费	百货与专营				
600653.SH	申华控股	消费	百货与专营				
600655.SH	豫园股份	消费	百货与专营				
600694.SH	大商股份	消费	百货与专营				
600729.SH	重庆百货	消费	百货与专营				
600738.SH	丽尚国潮	消费	百货与专营				
600790.SH	轻纺城	消费	百货与专营				
600811.SH	东方集团	消费	百货与专营				
600822.SH	上海物贸	消费	百货与专营				
600824.SH	益民集团	消费	百货与专营				
600826.SH	兰生股份	消费	百货与专营				
600828.SH	茂业商业	消费	百货与专营				
600861.SH	北京人力	消费	百货与专营				
600916.SH	中国黄金	消费	百货与专营				
601366.SH	利群股份	消费	百货与专营				
601828.SH	美凯龙	消费	百货与专营				
603123.SH	翠微股份	消费	百货与专营				
605599.SH	菜百股份	消费	百货与专营				
000882.SZ	华联股份	消费	百货与专营				
000861.SZ	海印股份	消费	百货与专营				
300945.SZ	曼卡龙	消费	百货与专营				
001309.SZ	德明利	科技	半导体				
002077.SZ	大港股份	科技	半导体				
002079.SZ	苏州固锝	科技	半导体				
002156.SZ	通富微电	科技	半导体				
002185.SZ	华天科技	科技	半导体				
002371.SZ	北方华创	科技	半导体				
003043.SZ	华亚智能	科技	半导体				
300046.SZ	台基股份	科技	半导体				
300053.SZ	航宇微	科技	半导体				
300223.SZ	北京君正	科技	半导体				
300327.SZ	中颖电子	科技	半导体				
300373.SZ	扬杰科技	科技	半导体				
300456.SZ	赛微电子	科技	半导体				
300458.SZ	全志科技	科技	半导体				
300480.SZ	光力科技	科技	半导体				
300567.SZ	精测电子	科技	半导体				
300604.SZ	长川科技	科技	半导体				
